activity__sum_values,activity__median,activity__mean,activity__length,activity__standard_deviation,activity__variance,activity__root_mean_square,activity__maximum,activity__minimum
3086166.0,107.0,243.31173706054688,12684.0,358.1040954589844,128238.5390625,432.9424133300781,3526.0,0.0
5259938.0,327.0,451.3031311035156,11655.0,438.3249816894531,192128.796875,629.1290283203125,4935.0,0.0
2122811.0,3.0,170.78125,12430.0,328.99163818359375,108235.5,370.6773986816406,3506.0,0.0
2646821.0,65.0,216.1199493408203,12247.0,322.0867919921875,103739.90625,387.8759460449219,3200.0,0.0
4367000.0,160.0,311.2615966796875,14030.0,391.80181884765625,153508.65625,500.3923034667969,4859.0,0.0
997768.0,0.0,84.94534301757812,11746.0,206.15296936035156,42499.046875,222.9680633544922,2929.0,0.0
1728484.0,23.0,144.89764404296875,11929.0,256.7077941894531,65898.8984375,294.77825927734375,6825.0,0.0
5474404.0,12.0,241.0888214111328,22707.0,398.37408447265625,158701.921875,465.6455383300781,6964.0,0.0
1354253.0,40.0,116.43478393554688,11631.0,203.18206787109375,41282.953125,234.179443359375,3195.0,0.0
830233.0,2.0,72.52843475341797,11447.0,145.0167999267578,21029.87109375,162.14266967773438,1355.0,0.0
2754639.0,100.0,243.10643005371094,11331.0,333.59539794921875,111285.8984375,412.7791442871094,8000.0,0.0
4659422.0,12.0,220.76290893554688,21106.0,394.5230712890625,155648.453125,452.0893249511719,4228.0,0.0
1137805.0,0.0,81.46380615234375,13967.0,169.5621795654297,28751.33203125,188.11614990234375,2150.0,0.0
1428931.0,0.0,127.04997253417969,11247.0,266.3479919433594,70941.25,295.09820556640625,3869.0,0.0
2864774.0,142.0,241.30508422851562,11872.0,275.44036865234375,75867.390625,366.1905517578125,3222.0,0.0
4754567.0,83.0,280.2574157714844,16965.0,398.9496765136719,159160.84375,487.550048828125,5931.0,0.0
4461814.0,208.0,379.7934875488281,11748.0,457.06182861328125,208905.515625,594.2630615234375,3847.0,3.0
4328594.0,158.0,371.36187744140625,11656.0,503.4192810058594,253430.96875,625.572265625,5631.0,0.0
2892903.0,96.0,249.5387725830078,11593.0,349.8658447265625,122406.1171875,429.7391357421875,4609.0,0.0
3414212.0,147.0,296.03851318359375,11533.0,379.35650634765625,143911.359375,481.19659423828125,4129.0,0.0
4564237.0,93.0,371.8319396972656,12275.0,523.2750854492188,273816.84375,641.9313354492188,4778.0,0.0
2743704.0,58.0,255.96641540527344,10719.0,475.58575439453125,226181.796875,540.0931396484375,5437.0,0.0
2764750.0,96.0,249.57122802734375,11078.0,358.1224365234375,128251.6875,436.50604248046875,2821.0,0.0
3928582.0,3.0,140.75389099121094,27911.0,349.0289611816406,121821.2109375,376.3414306640625,6117.0,0.0
4881196.0,268.0,415.2442321777344,11755.0,475.2752990722656,225886.609375,631.1215209960938,4245.0,0.0
3016253.0,67.0,222.56884765625,13552.0,346.96588134765625,120385.3203125,412.2161865234375,3869.0,0.0
2631536.0,3.0,139.99766540527344,18797.0,235.89666748046875,55647.23828125,274.3111267089844,2094.0,0.0
3125542.0,141.0,252.9369659423828,12357.0,318.1350402832031,101209.8984375,406.43206787109375,3180.0,0.0
6062565.0,248.0,490.5384826660156,12359.0,615.4703979492188,378803.78125,787.0398559570312,5931.0,0.0
4895995.0,276.0,396.0199890136719,12363.0,452.30517578125,204579.96875,601.1753540039062,4935.0,0.0
3816596.0,163.0,286.2518615722656,13333.0,365.09185791015625,133292.0625,463.9311828613281,8000.0,0.0
4103069.0,91.0,261.2587585449219,15705.0,366.6227722167969,134412.265625,450.18707275390625,4658.0,0.0
4623574.0,190.0,345.1973876953125,13394.0,430.1971740722656,185069.609375,551.5712890625,4379.0,0.0
3432245.0,77.0,227.7686004638672,15069.0,326.0898742675781,106334.6015625,397.7601318359375,2918.0,0.0
10051178.0,449.0,592.8848876953125,16953.0,570.5862426757812,325568.6875,822.8494262695312,4927.0,0.0
6104427.0,139.0,351.4148254394531,17371.0,488.12811279296875,238269.046875,601.466064453125,8000.0,0.0
3029814.0,0.0,173.96726989746094,17416.0,318.4571533203125,101414.9609375,362.8768005371094,3506.0,0.0
4133935.0,212.0,350.6900939941406,11788.0,411.29217529296875,169161.265625,540.5042114257812,4361.0,3.0
3051694.0,158.0,258.74969482421875,11794.0,311.94940185546875,97312.4375,405.2947692871094,3887.0,0.0
5629724.0,259.0,472.13385009765625,11924.0,699.8200073242188,489748.0,844.1909790039062,8000.0,0.0
5002490.0,296.0,419.7424011230469,11918.0,440.5945129394531,194123.53125,608.5286865234375,4658.0,0.0
6058403.0,80.0,333.15386962890625,18185.0,479.1468200683594,229581.671875,583.58642578125,8000.0,0.0
4558653.0,259.0,405.2135925292969,11250.0,436.4449157714844,190484.171875,595.5520629882812,3869.0,0.0
5165529.0,239.0,387.9189758300781,13316.0,432.11175537109375,186720.5625,580.6907348632812,5750.0,0.0
4487883.0,190.0,339.6566162109375,13213.0,432.7367248535156,187261.0625,550.1160888671875,3752.0,0.0
4067844.0,0.0,114.71641540527344,35460.0,273.0459289550781,74554.078125,296.1653747558594,3974.0,0.0
3786743.0,175.0,321.7557067871094,11769.0,403.9300231933594,163159.46875,516.4166870117188,4228.0,0.0
6013575.0,0.0,217.1828155517578,27689.0,470.0528869628906,220949.71875,517.8012084960938,4753.0,0.0
2249797.0,0.0,80.5830078125,27919.0,225.03823852539062,50642.20703125,239.03102111816406,4009.0,0.0
3349437.0,7.0,197.7819366455078,16935.0,383.0738830566406,146745.59375,431.11865234375,4354.0,0.0
4995814.0,3.0,197.0502166748047,25353.0,356.01470947265625,126746.4765625,406.9093933105469,3314.0,0.0
5618330.0,5.0,201.45326232910156,27889.0,443.1828918457031,196411.0625,486.82080078125,7431.0,0.0
