activity__sum_values,activity__median,activity__mean,activity__length,activity__standard_deviation,activity__variance,activity__root_mean_square,activity__maximum,activity__minimum
3415660.0,9.0,146.94802856445312,23244.0,294.5860900878906,86780.96875,329.2030944824219,3526.0,0.0
6243346.0,103.0,289.647216796875,21555.0,406.59503173828125,165319.515625,499.21441650390625,4935.0,0.0
2974516.0,0.0,129.38304138183594,22990.0,284.5292053222656,80956.8671875,312.56494140625,3506.0,0.0
3354049.0,13.0,151.44483947753906,22147.0,273.98760986328125,75069.2109375,313.05712890625,3622.0,0.0
5735146.0,36.0,221.34873962402344,25910.0,347.3293151855469,120637.65625,411.8652038574219,4859.0,0.0
1624530.0,0.0,75.04989624023438,21646.0,186.92286682128906,34940.16015625,201.42652893066406,2929.0,0.0
2391019.0,0.0,109.5340576171875,21829.0,232.7318878173828,54164.12890625,257.2194519042969,6825.0,0.0
6128175.0,0.0,146.44239807128906,41847.0,325.9874267578125,106267.8046875,357.36981201171875,6964.0,0.0
1848268.0,12.0,85.84217834472656,21531.0,176.90866088867188,31296.671875,196.63558959960938,3195.0,0.0
1517859.0,3.0,71.10408782958984,21347.0,136.13433837890625,18532.556640625,153.58499145507812,1355.0,0.0
3338367.0,19.0,157.24021911621094,21231.0,286.96734619140625,82350.25,327.2227783203125,8000.0,0.0
5981554.0,9.0,153.6647491455078,38926.0,330.7974853515625,109426.96875,364.7462158203125,4228.0,0.0
1413779.0,0.0,54.69799041748047,25847.0,148.18304443359375,21958.21484375,157.95596313476562,2150.0,0.0
1628308.0,0.0,79.48005676269531,20487.0,214.97035217285156,46212.25,229.19277954101562,3869.0,0.0
3521753.0,21.0,161.7560577392578,21772.0,253.50645446777344,64265.51953125,300.7167053222656,3222.0,0.0
6379462.0,0.0,202.6190948486328,31485.0,357.36773681640625,127711.6953125,410.8116149902344,5931.0,0.0
5743208.0,50.0,265.2997131347656,21648.0,399.8718566894531,159897.5,479.8764343261719,3847.0,3.0
5925033.0,61.0,274.86700439453125,21556.0,446.03857421875,198950.421875,523.9296264648438,6776.0,0.0
3594618.0,30.0,167.24598693847656,21493.0,298.7126770019531,89229.265625,342.3455505371094,4609.0,0.0
4209793.0,10.0,196.41641235351562,21433.0,334.692138671875,112018.828125,388.06988525390625,4129.0,0.0
5805537.0,7.0,261.8055114746094,22175.0,453.9455871582031,206066.59375,524.0311889648438,4778.0,0.0
3569050.0,3.0,184.9344482421875,19299.0,415.240966796875,172425.0625,454.5611267089844,5437.0,0.0
3632316.0,32.0,178.77330017089844,20318.0,308.0788879394531,94912.609375,356.1916809082031,2821.0,0.0
5091923.0,0.0,98.54508209228516,51671.0,289.4842834472656,83801.15625,305.79779052734375,6117.0,0.0
6072259.0,41.0,280.4090881347656,21655.0,435.5606689453125,189713.109375,518.0177612304688,4245.0,0.0
4037371.0,3.0,162.98123168945312,24772.0,314.3058166503906,98788.1484375,354.0494689941406,6752.0,0.0
3231816.0,2.0,93.30531311035156,34637.0,199.14776611328125,39659.83203125,219.92205810546875,2682.0,0.0
3745298.0,26.0,168.27505493164062,22257.0,284.61041259765625,81003.0859375,330.6351013183594,3180.0,0.0
7650897.0,60.0,343.72149658203125,22259.0,554.3111572265625,307260.875,652.2310180664062,5931.0,0.0
6193612.0,71.0,278.2020263671875,22263.0,422.29986572265625,178337.1875,505.7010498046875,4935.0,0.0
5055141.0,48.0,205.88690185546875,24553.0,327.5880126953125,107313.9140625,386.9151306152344,8000.0,0.0
5109508.0,0.0,176.7689971923828,28905.0,314.951416015625,99194.3984375,361.1671142578125,4658.0,0.0
5945290.0,52.0,241.54100036621094,24614.0,383.3970947265625,146993.328125,453.13946533203125,4517.0,0.0
4677802.0,0.0,169.43032836914062,27609.0,309.1378479003906,95566.2109375,352.5235290527344,2918.0,0.0
12554059.0,141.0,398.8834533691406,31473.0,533.9447021484375,285096.9375,666.4869995117188,4927.0,0.0
7333541.0,3.0,229.95645141601562,31891.0,422.0641174316406,178138.109375,480.6434020996094,8000.0,0.0
5502208.0,0.0,172.28857421875,31936.0,321.4036865234375,103300.3359375,364.6693115234375,3506.0,0.0
5318234.0,77.0,245.21551513671875,21688.0,378.8740539550781,143545.546875,451.30499267578125,6128.0,0.0
4116802.0,61.0,189.766845703125,21694.0,285.6385498046875,81589.375,342.9297790527344,3887.0,0.0
7680184.0,102.0,351.9145812988281,21824.0,624.3622436523438,389828.21875,716.7091674804688,8000.0,0.0
6443591.0,91.0,295.3337097167969,21818.0,420.10296630859375,176486.5,513.5255737304688,4658.0,0.0
