activity__sum_values,activity__median,activity__mean,activity__length,activity__standard_deviation,activity__variance,activity__root_mean_square,activity__maximum,activity__minimum
329494.0,0.0,31.202083587646484,10560.0,111.50753021240234,12433.9287109375,115.7907485961914,2284.0,0.0
983408.0,0.0,99.33414459228516,9900.0,258.40545654296875,66773.3828125,276.8404846191406,2828.0,0.0
851705.0,0.0,80.65388488769531,10560.0,210.8455047607422,44455.828125,225.74514770507812,2341.0,0.0
707228.0,0.0,71.43717193603516,9900.0,167.4090576171875,28025.79296875,182.013916015625,3622.0,0.0
1368146.0,0.0,115.16380310058594,11880.0,246.97195434570312,60995.14453125,272.5029296875,2784.0,0.0
626762.0,0.0,63.30929183959961,9900.0,160.36766052246094,25717.787109375,172.411865234375,2016.0,0.0
662535.0,0.0,66.9227294921875,9900.0,191.57691955566406,36701.71875,202.9294891357422,2962.0,0.0
653771.0,0.0,34.15731430053711,19140.0,144.31410217285156,20826.55859375,148.3013153076172,2507.0,0.0
494015.0,0.0,49.90050506591797,9900.0,131.04563903808594,17172.958984375,140.2248992919922,2735.0,0.0
687626.0,7.0,69.45716857910156,9900.0,125.05976867675781,15639.9453125,143.0532989501953,1355.0,0.0
583728.0,0.0,58.962425231933594,9900.0,176.45068359375,31134.84375,186.0414276123047,2845.0,0.0
1322132.0,7.0,74.19371795654297,17820.0,207.4468994140625,43034.21484375,220.3155059814453,3300.0,3.0
275974.0,0.0,23.230134963989258,11880.0,110.17823028564453,12139.2431640625,112.60054016113281,1958.0,0.0
199377.0,0.0,21.57759666442871,9240.0,100.02406311035156,10004.8125,102.32500457763672,2146.0,0.0
656979.0,0.0,66.36151885986328,9900.0,183.4774932861328,33663.9921875,195.10983276367188,2935.0,0.0
1624895.0,0.0,111.9073715209961,14520.0,275.12823486328125,75695.546875,297.0165100097656,3399.0,0.0
1281394.0,8.0,129.43373107910156,9900.0,260.2420959472656,67725.9453125,290.65277099609375,3002.0,3.0
1596439.0,2.0,161.2564697265625,9900.0,333.0709533691406,110936.2578125,370.0539245605469,6776.0,0.0
701715.0,0.0,70.88030242919922,9900.0,182.1051483154297,33162.28515625,195.4131622314453,2990.0,0.0
795581.0,0.0,80.3617172241211,9900.0,223.23826599121094,49835.32421875,237.26214599609375,4003.0,0.0
1241300.0,3.0,125.38383483886719,9900.0,297.39251708984375,88442.3046875,322.7435607910156,4354.0,0.0
825346.0,0.0,96.19417572021484,8580.0,301.8087463378906,91088.515625,316.7677917480469,4116.0,0.0
867566.0,0.0,93.89242553710938,9240.0,204.27342224121094,41727.6328125,224.8186492919922,2735.0,0.0
1163340.75,0.0,48.962154388427734,23760.0,185.97708129882812,34587.4765625,192.31423950195312,4927.0,0.0
1191063.0,0.0,120.30939483642578,9900.0,315.5038146972656,99542.6640625,337.6640319824219,4245.0,0.0
1021118.0,0.0,91.00873565673828,11220.0,251.4626007080078,63233.4375,267.4248046875,6752.0,0.0
600280.0,0.0,37.89646530151367,15840.0,122.59930419921875,15030.5888671875,128.32275390625,2682.0,0.0
619756.0,0.0,62.60161590576172,9900.0,188.8594512939453,35667.89453125,198.96446228027344,2725.0,0.0
1588332.0,3.0,160.4375762939453,9900.0,396.7942199707031,157445.65625,428.002197265625,3729.0,0.0
1297617.0,0.0,131.07241821289062,9900.0,326.4718322753906,106583.859375,351.80084228515625,3853.0,0.0
1238545.0,5.0,110.38725280761719,11220.0,244.23028564453125,59648.43359375,268.0182189941406,2759.0,0.0
1006439.0,0.0,76.24537658691406,13200.0,196.71026611328125,38694.9296875,210.96986389160156,2016.0,0.0
1321716.0,0.0,117.80000305175781,11220.0,270.9261169433594,73400.953125,295.4281311035156,4517.0,0.0
1245557.0,0.0,99.32671356201172,12540.0,271.3335266113281,73621.8828125,288.9423522949219,2918.0,0.0
2502881.0,0.0,172.37472534179688,14520.0,377.61676025390625,142594.40625,415.0993347167969,3616.0,0.0
1229114.0,0.0,84.64972686767578,14520.0,259.687744140625,67437.71875,273.13604736328125,4379.0,0.0
