activity__sum_values,activity__median,activity__mean,activity__length,activity__standard_deviation,activity__variance,activity__root_mean_square,activity__maximum,activity__minimum
3109312.0,71.0,258.54913330078125,12026.0,356.8221435546875,127322.03125,440.64691162109375,2420.0,0.0
2048595.0,62.0,152.81179809570312,13406.0,227.32969665527344,51678.7890625,273.9164733886719,2084.0,0.0
1320888.0,24.0,110.9337387084961,11907.0,184.90773010253906,34190.8671875,215.6320037841797,2430.0,0.0
1073667.0,35.0,90.14836120605469,11910.0,136.84490966796875,18726.53125,163.86964416503906,1793.0,0.0
5225732.0,342.0,438.6211242675781,11914.0,421.2588195800781,177458.984375,608.15087890625,4333.0,0.0
2514172.0,103.0,210.97357177734375,11917.0,282.33355712890625,79712.2421875,352.4515380859375,3296.0,0.0
2291703.0,116.0,192.27308654785156,11919.0,237.0876007080078,56210.53125,305.25311279296875,3974.0,0.0
2392569.0,83.0,191.466796875,12496.0,270.5505676269531,73197.6171875,331.4470520019531,4259.0,0.0
4793631.0,306.0,402.5555114746094,11908.0,448.98797607421875,201590.203125,603.026611328125,8000.0,0.0
2422966.0,15.0,154.26026916503906,15707.0,244.5027313232422,59781.5859375,289.0982666015625,3214.0,0.0
2345650.0,35.0,155.72262573242188,15063.0,273.7189636230469,74922.078125,314.9152526855469,4399.0,0.0
1082466.0,35.0,89.86103057861328,12046.0,146.82489013671875,21557.548828125,172.14108276367188,2016.0,0.0
1473575.0,2.0,97.79499816894531,15068.0,184.64096069335938,34092.28515625,208.9405059814453,2000.0,0.0
2328985.0,5.0,134.0037384033203,17380.0,281.07012939453125,79000.421875,311.3798828125,4116.0,0.0
3791264.0,232.0,321.3480224609375,11798.0,323.2764892578125,104507.6953125,455.8204040527344,3880.0,0.0
2964728.0,168.0,246.1580810546875,12044.0,283.9588928222656,80632.6484375,375.80108642578125,2682.0,0.0
3072274.0,191.0,255.21466064453125,12038.0,260.3687438964844,67791.875,364.5907287597656,2062.0,0.0
2942130.0,181.0,244.54576110839844,12031.0,264.84088134765625,70140.6953125,360.4765319824219,3002.0,0.0
1701946.0,86.0,142.00634765625,11985.0,169.30557250976562,28664.37890625,220.97552490234375,2214.0,0.0
2075046.0,0.0,131.8494110107422,15738.0,246.8571319580078,60938.44140625,279.8619384765625,3022.0,0.0
2228059.0,28.0,141.55393981933594,15740.0,216.3039093017578,46787.3828125,258.505126953125,2160.0,0.0
3698548.0,53.0,234.87318420410156,15747.0,342.4931945800781,117301.578125,415.29144287109375,4490.0,0.0
3928582.0,3.0,140.75389099121094,27911.0,349.0289611816406,121821.2109375,376.3414306640625,6117.0,0.0
4881196.0,268.0,415.2442321777344,11755.0,475.2752990722656,225886.609375,631.1215209960938,4245.0,0.0
3016253.0,67.0,222.56884765625,13552.0,346.96588134765625,120385.3203125,412.2161865234375,3869.0,0.0
2631536.0,3.0,139.99766540527344,18797.0,235.89666748046875,55647.23828125,274.3111267089844,2094.0,0.0
3125542.0,141.0,252.9369659423828,12357.0,318.1350402832031,101209.8984375,406.43206787109375,3180.0,0.0
6062565.0,248.0,490.5384826660156,12359.0,615.4703979492188,378803.78125,787.0398559570312,5931.0,0.0
4895995.0,276.0,396.0199890136719,12363.0,452.30517578125,204579.96875,601.1753540039062,4935.0,0.0
3816596.0,163.0,286.2518615722656,13333.0,365.09185791015625,133292.0625,463.9311828613281,8000.0,0.0
4103069.0,91.0,261.2587585449219,15705.0,366.6227722167969,134412.265625,450.18707275390625,4658.0,0.0
4623574.0,190.0,345.1973876953125,13394.0,430.1971740722656,185069.609375,551.5712890625,4379.0,0.0
3432245.0,77.0,227.7686004638672,15069.0,326.0898742675781,106334.6015625,397.7601318359375,2918.0,0.0
10051178.0,449.0,592.8848876953125,16953.0,570.5862426757812,325568.6875,822.8494262695312,4927.0,0.0
6104427.0,139.0,351.4148254394531,17371.0,488.12811279296875,238269.046875,601.466064453125,8000.0,0.0
3029814.0,0.0,173.96726989746094,17416.0,318.4571533203125,101414.9609375,362.8768005371094,3506.0,0.0
4133935.0,212.0,350.6900939941406,11788.0,411.29217529296875,169161.265625,540.5042114257812,4361.0,3.0
3051694.0,158.0,258.74969482421875,11794.0,311.94940185546875,97312.4375,405.2947692871094,3887.0,0.0
5629724.0,259.0,472.13385009765625,11924.0,699.8200073242188,489748.0,844.1909790039062,8000.0,0.0
5002490.0,296.0,419.7424011230469,11918.0,440.5945129394531,194123.53125,608.5286865234375,4658.0,0.0
6058403.0,80.0,333.15386962890625,18185.0,479.1468200683594,229581.671875,583.58642578125,8000.0,0.0
4558653.0,259.0,405.2135925292969,11250.0,436.4449157714844,190484.171875,595.5520629882812,3869.0,0.0
5165529.0,239.0,387.9189758300781,13316.0,432.11175537109375,186720.5625,580.6907348632812,5750.0,0.0
4487883.0,190.0,339.6566162109375,13213.0,432.7367248535156,187261.0625,550.1160888671875,3752.0,0.0
4067844.0,0.0,114.71641540527344,35460.0,273.0459289550781,74554.078125,296.1653747558594,3974.0,0.0
3786743.0,175.0,321.7557067871094,11769.0,403.9300231933594,163159.46875,516.4166870117188,4228.0,0.0
6013575.0,0.0,217.1828155517578,27689.0,470.0528869628906,220949.71875,517.8012084960938,4753.0,0.0
2249797.0,0.0,80.5830078125,27919.0,225.03823852539062,50642.20703125,239.03102111816406,4009.0,0.0
3349437.0,7.0,197.7819366455078,16935.0,383.0738830566406,146745.59375,431.11865234375,4354.0,0.0
4995814.0,3.0,197.0502166748047,25353.0,356.01470947265625,126746.4765625,406.9093933105469,3314.0,0.0
5618330.0,5.0,201.45326232910156,27889.0,443.1828918457031,196411.0625,486.82080078125,7431.0,0.0
6033647.0,5.0,217.1157684326172,27790.0,519.2974853515625,269669.875,562.8579711914062,8000.0,0.0
6032500.0,219.0,383.795654296875,15718.0,489.8047790527344,239908.71875,622.2601928710938,6321.0,0.0
2493105.0,9.0,157.41287231445312,15838.0,277.48065185546875,76995.515625,319.0208740234375,2674.0,0.0
