activity__sum_values,activity__median,activity__mean,activity__length,activity__standard_deviation,activity__variance,activity__root_mean_square,activity__maximum,activity__minimum
3598339.0,0.0,164.11288452148438,21926.0,301.929443359375,91161.3828125,343.648681640625,2420.0,0.0
2370607.0,0.0,96.26439666748047,24626.0,191.79441833496094,36785.1015625,214.59715270996094,2084.0,0.0
1792112.5,0.0,82.18061065673828,21807.0,163.24012756347656,26647.33984375,182.75938415527344,2430.0,0.0
1239867.0,0.0,56.84855651855469,21810.0,114.39898681640625,13087.12890625,127.74539947509766,1793.0,0.0
5615883.0,42.0,257.4439697265625,21814.0,381.1502380371094,145275.5,459.94879150390625,4333.0,0.0
3241508.5,30.0,148.5771942138672,21817.0,243.89700317382812,59485.75,285.5887451171875,3296.0,0.0
2687073.0,0.0,123.15289306640625,21819.0,208.3970489501953,43429.328125,242.0660400390625,3974.0,0.0
2579133.5,0.0,111.86387634277344,23056.0,224.31768798828125,50318.421875,250.6630401611328,4259.0,0.0
6435799.0,148.0,295.1118469238281,21808.0,391.9178466796875,153599.609375,490.602294921875,8000.0,0.0
2834805.0,0.0,98.0663833618164,28907.0,203.39906311035156,41371.17578125,225.8056640625,3214.0,0.0
2850258.0,0.0,103.25899505615234,27603.0,230.8589630126953,53295.859375,252.89974975585938,4399.0,0.0
1769993.0,23.0,80.65219116210938,21946.0,145.58241271972656,21194.240234375,166.4302215576172,2430.0,0.0
2035443.0,0.0,73.7265625,27608.0,165.73300170898438,27467.427734375,181.39193725585938,2263.0,0.0
2782072.0,3.0,87.21228790283203,31900.0,228.8475341796875,52371.1953125,244.90235900878906,4116.0,0.0
4379850.0,66.0,201.85501098632812,21698.0,294.158447265625,86529.1953125,356.7557067871094,3880.0,0.0
4030304.0,66.0,183.66314697265625,21944.0,258.93585205078125,67047.7734375,317.4585266113281,2682.0,0.0
3481891.0,0.0,158.71505737304688,21938.0,238.0104522705078,56648.97265625,286.0759582519531,2194.0,0.0
3246650.0,0.0,148.039306640625,21931.0,235.84974670410156,55625.1015625,278.46136474609375,3002.0,0.0
2043840.0,17.0,93.3899917602539,21885.0,149.7744598388672,22432.38671875,176.5051727294922,2214.0,0.0
2595836.0,0.0,89.703369140625,28938.0,210.80047607421875,44436.83984375,229.0928497314453,3022.0,0.0
2794725.0,0.0,96.56962585449219,28940.0,182.4412384033203,33284.8046875,206.423095703125,2160.0,0.0
4275623.0,0.0,147.70521545410156,28947.0,291.6614990234375,85066.4375,326.9300537109375,4490.0,0.0
5091923.0,0.0,98.54508209228516,51671.0,289.4842834472656,83801.15625,305.79779052734375,6117.0,0.0
6072259.0,41.0,280.4090881347656,21655.0,435.5606689453125,189713.109375,518.0177612304688,4245.0,0.0
4037371.0,3.0,162.98123168945312,24772.0,314.3058166503906,98788.1484375,354.0494689941406,6752.0,0.0
3231816.0,2.0,93.30531311035156,34637.0,199.14776611328125,39659.83203125,219.92205810546875,2682.0,0.0
3745298.0,26.0,168.27505493164062,22257.0,284.61041259765625,81003.0859375,330.6351013183594,3180.0,0.0
7650897.0,60.0,343.72149658203125,22259.0,554.3111572265625,307260.875,652.2310180664062,5931.0,0.0
6193612.0,71.0,278.2020263671875,22263.0,422.29986572265625,178337.1875,505.7010498046875,4935.0,0.0
5055141.0,48.0,205.88690185546875,24553.0,327.5880126953125,107313.9140625,386.9151306152344,8000.0,0.0
5109508.0,0.0,176.7689971923828,28905.0,314.951416015625,99194.3984375,361.1671142578125,4658.0,0.0
5945290.0,52.0,241.54100036621094,24614.0,383.3970947265625,146993.328125,453.13946533203125,4517.0,0.0
4677802.0,0.0,169.43032836914062,27609.0,309.1378479003906,95566.2109375,352.5235290527344,2918.0,0.0
12554059.0,141.0,398.8834533691406,31473.0,533.9447021484375,285096.9375,666.4869995117188,4927.0,0.0
7333541.0,3.0,229.95645141601562,31891.0,422.0641174316406,178138.109375,480.6434020996094,8000.0,0.0
5502208.0,0.0,172.28857421875,31936.0,321.4036865234375,103300.3359375,364.6693115234375,3506.0,0.0
5318234.0,77.0,245.21551513671875,21688.0,378.8740539550781,143545.546875,451.30499267578125,6128.0,0.0
4116802.0,61.0,189.766845703125,21694.0,285.6385498046875,81589.375,342.9297790527344,3887.0,0.0
7680184.0,102.0,351.9145812988281,21824.0,624.3622436523438,389828.21875,716.7091674804688,8000.0,0.0
6443591.0,91.0,295.3337097167969,21818.0,420.10296630859375,176486.5,513.5255737304688,4658.0,0.0
7734445.0,0.0,231.81312561035156,33365.0,418.7252197265625,175330.8125,478.6106262207031,8000.0,0.0
6434827.0,130.0,314.04718017578125,20490.0,431.4410400390625,186141.375,533.6356201171875,3869.0,0.0
7199689.0,131.0,293.4336853027344,24536.0,408.75,167076.5625,503.1698303222656,5750.0,0.0
5813837.0,41.0,237.9501953125,24433.0,386.79669189453125,149611.671875,454.127685546875,4658.0,0.0
5037072.0,0.0,77.0112075805664,65407.0,228.4839630126953,52204.91796875,241.11334228515625,3974.0,0.0
4755455.0,47.0,219.4589080810547,21669.0,357.8396301269531,128049.1953125,419.775390625,4228.0,0.0
7588037.0,0.0,147.486572265625,51449.0,389.59564208984375,151784.765625,416.5777893066406,4753.0,0.0
3527175.0,0.0,68.2516098022461,51679.0,210.3251190185547,44236.65625,221.1219940185547,4009.0,0.0
4345856.0,3.0,138.1610565185547,31455.0,331.3367004394531,109784.015625,358.9881591796875,4354.0,0.0
6310465.0,3.0,133.88633728027344,47133.0,303.7257995605469,92249.359375,331.92608642578125,3314.0,0.0
7865968.0,5.0,152.29661560058594,51649.0,389.611328125,151796.984375,418.3195495605469,7431.0,0.0
8398679.0,5.0,162.9229736328125,51550.0,446.3421325683594,199221.296875,475.1475524902344,8000.0,0.0
8400335.0,21.0,290.48809814453125,28918.0,455.9462890625,207887.015625,540.6203002929688,6321.0,0.0
3114809.0,7.0,107.26664733886719,29038.0,235.22398376464844,55330.3203125,258.5274658203125,2674.0,0.0
